"terms","PA1","PA2"
"answer",0.756155981524616,0.0878064665198827
"clearData",0.401510655586634,0.566588917493826
"clearRepresent",0.535867133069784,0.421007361884284
"complex",0.478504439827933,0.419394374704315
"confid",0.942643716308748,-0.145457655584013
"confus",0.493938097384028,0.444316550293879
"crowd",-0.278206357593305,0.994154512991995
"deciph",0.494788751204831,0.428610699049876
"distinguish",0.038083777587563,0.733592390731724
"distract",-0.0653044278264619,0.850295228912432
"effect",0.565530737727184,0.350137420068023
"find",0.312432968790998,0.560155888929424
"identifi",0.584552848111979,0.345036487076331
"inform",0.524857985497835,0.411307984101598
"lost",0.527145576923782,0.39749519966166
"meanElem",0.737243129898617,0.0904370900683758
"meanOveral",0.915410893566505,-0.174332125645131
"messi",-0.1209742110865,0.979837621104545
"obvious",1.00307267879417,-0.188105740122644
"organiz",0.1622243434366,0.710035606603071
"read",0.502428086692121,0.452802428083382
"readabl",0.452897333303332,0.468949252559833
"represent",0.925900012636947,-0.0528489920430916
"see",0.483656486182453,0.258057709639029
"simpl",0.442842588358668,0.521321345285725
"understandEasi",0.884459665481939,0.0391432558729591
"understandQuick",0.79262098733465,0.118728760115378
"valu",0.479404144215707,0.182713700718278
"visibl",0.473019143981123,0.23256292040696
